Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Longitude,Latitude,location
2008,57,101214,101214,146-150 Bourke Street MELBOURNE 3000,Melbourne (CBD),FM Karaoke Bar,"Level 1, 146 Bourke Street MELBOURNE 3000",4520,"Pubs, Taverns and Bars",Seats - Indoor,15,144.96874244805002,-37.81235426986924,"-37.81235426986924, 144.96874244805002"
2008,57,101219,101219,100-116 Bourke Street MELBOURNE 3000,Melbourne (CBD),D'Marcos  Espresso Bar,"Shop 11, LwrGround , 108 Bourke Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Indoor,7,144.9697608853,-37.81172679600914,"-37.81172679600914, 144.9697608853"
2008,57,101219,101219,100-116 Bourke Street MELBOURNE 3000,Melbourne (CBD),Mary Martin Book Shop,"Shop 8, UprGround , 108 Bourke Street MELBOURNE 3000",4244,Newspaper and Book Retailing,Seats - Outdoor,6,144.9697608853,-37.81172679600914,"-37.81172679600914, 144.9697608853"
2008,57,101219,101219,100-116 Bourke Street MELBOURNE 3000,Melbourne (CBD),Seven Shop,"Shop 2, UprGround , 108 Bourke Street MELBOURNE 3000",4251,Clothing Retailing,Seats - Indoor,20,144.9697608853,-37.81172679600914,"-37.81172679600914, 144.9697608853"
2008,57,101219,101219,100-116 Bourke Street MELBOURNE 3000,Melbourne (CBD),Seven Shop,"Shop 2, UprGround , 108 Bourke Street MELBOURNE 3000",4251,Clothing Retailing,Seats - Outdoor,20,144.9697608853,-37.81172679600914,"-37.81172679600914, 144.9697608853"
2008,57,101221,101221,94-96 Bourke Street MELBOURNE 3000,Melbourne (CBD),The Elephant and Wheelbarrow,94-96 Bourke Street MELBOURNE 3000,4520,"Pubs, Taverns and Bars",Seats - Indoor,240,144.97024358725,-37.81191580673347,"-37.81191580673347, 144.97024358725"
2008,57,103600,103600,173-175 Exhibition Street MELBOURNE 3000,Melbourne (CBD),3 Gorges Chinese  Restaurant,173-175 Exhibition Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,100,144.97004915203885,-37.811587628149994,"-37.811587628149994, 144.97004915203885"
2008,57,106433,106433,18-24 Market Lane MELBOURNE 3000,Melbourne (CBD),Hofbrouhaus Restaurant,"Ground , 18 Market Lane MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,150,144.96940300403708,-37.8117510901,"-37.8117510901, 144.96940300403708"
2008,58,101224,101224,78-84 Bourke Street MELBOURNE 3000,Melbourne (CBD),Grossi Florentino,78-84 Bourke Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,210,144.97084640375,-37.811730591663505,"-37.811730591663505, 144.97084640375"
2008,58,101229,101229,66 Bourke Street MELBOURNE 3000,Melbourne (CBD),Pellegrinis Espresso Bar,66 Bourke Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Indoor,45,144.9711629832,-37.81164791908078,"-37.81164791908078, 144.9711629832"
2008,58,101232,101232,32-38 Bourke Street MELBOURNE 3000,Melbourne (CBD),Water & Grass,"Shop 2, Ground , 32 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,120,144.97197812399995,-37.81136084717551,"-37.81136084717551, 144.97197812399995"
2008,58,101232,101232,32-38 Bourke Street MELBOURNE 3000,Melbourne (CBD),Water & Grass,"Shop 2, Ground , 32 Bourke Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,12,144.97197812399995,-37.81136084717551,"-37.81136084717551, 144.97197812399995"
2008,58,101233,101233,20-30 Bourke Street MELBOURNE 3000,Melbourne (CBD),Palace Theatre,20-30 Bourke Street MELBOURNE 3000,4520,"Pubs, Taverns and Bars",Seats - Indoor,170,144.97215344135,-37.81117804131701,"-37.81117804131701, 144.97215344135"
2008,58,101234,101234,18 Bourke Street MELBOURNE 3000,Melbourne (CBD),Green Pepper Indian Restaurant,18 Bourke Street MELBOURNE 3000,4511,Cafes and Restaurants,Seats - Outdoor,8,144.97236238509998,-37.81128725729499,"-37.81128725729499, 144.97236238509998"
2008,58,101238,101238,2-8 Bourke Street MELBOURNE 3000,Melbourne (CBD),Imperial Hotel,2-8 Bourke Street MELBOURNE 3000,4520,"Pubs, Taverns and Bars",Seats - Indoor,200,144.9726756216,-37.81120076776847,"-37.81120076776847, 144.9726756216"
2008,58,102268,102268,11-25 Crossley Street MELBOURNE 3000,Melbourne (CBD),Becco,"Ground , 11-25 Crossley Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,100,144.9710162423,-37.8114361556981,"-37.8114361556981, 144.9710162423"
