lifespan_numeric,industry_cafe,log_seats,outdoor_seating,mixed_seating,same_ind,other_ind,on_best_street,on_worst_street,clue_melbourne__cbd_,clue_carlton,clue_docklands,clue_southbank,clue_north_melbourne,clue_west_melbourne__residential_,clue_east_melbourne,clue_parkville,clue_melbourne__remainder_,clue_kensington,property_competition
2,1,4.394449154672439,0,0,149,24,0,0,1,0,0,0,0,0,0,0,0,0,1
3,1,4.394449154672439,0,0,115,16,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,3.4339872044851463,0,0,23,150,0,0,1,0,0,0,0,0,0,0,0,0,1
7,1,3.713572066704308,0,1,69,4,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,4.23410650459726,0,1,206,45,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,3.1354942159291497,0,0,59,5,0,0,1,0,0,0,0,0,0,0,0,0,3
4,0,3.295836866004329,0,0,26,120,0,0,1,0,0,0,0,0,0,0,0,0,6
10,1,3.912023005428146,0,1,59,5,0,0,1,0,0,0,0,0,0,0,0,0,3
2,1,3.784189633918261,0,1,119,27,0,0,1,0,0,0,0,0,0,0,0,0,6
4,0,2.9444389791664403,0,0,46,178,0,0,1,0,0,0,0,0,0,0,0,0,8
2,1,3.8066624897703196,0,0,150,36,0,0,1,0,0,0,0,0,0,0,0,0,7
10,1,4.852030263919617,0,1,59,5,0,0,1,0,0,0,0,0,0,0,0,0,3
8,0,2.0794415416798357,0,1,34,136,0,0,1,0,0,0,0,0,0,0,0,0,7
1,0,2.3978952727983707,0,0,8,68,0,0,1,0,0,0,0,0,0,0,0,0,3
13,1,3.6635616461296463,0,1,96,21,0,0,1,0,0,0,0,0,0,0,0,0,5
15,0,2.833213344056216,0,0,16,83,0,0,1,0,0,0,0,0,0,0,0,0,5
2,0,3.258096538021482,0,0,13,75,0,0,1,0,0,0,0,0,0,0,0,0,3
2,0,2.9444389791664403,0,0,35,151,0,0,1,0,0,0,0,0,0,0,0,0,7
2,1,3.258096538021482,0,0,82,17,0,0,1,0,0,0,0,0,0,0,0,0,5
8,1,4.61512051684126,0,1,119,27,0,0,1,0,0,0,0,0,0,0,0,0,6
14,1,3.970291913552122,0,1,59,5,0,0,1,0,0,0,0,0,0,0,0,0,3
4,0,2.833213344056216,0,0,46,178,0,0,1,0,0,0,0,0,0,0,0,0,8
8,1,4.007333185232471,0,1,135,35,0,0,1,0,0,0,0,0,0,0,0,0,7
7,0,2.70805020110221,0,0,16,83,0,0,1,0,0,0,0,0,0,0,0,0,5
2,1,4.51085950651685,0,0,57,12,0,0,1,0,0,0,0,0,0,0,0,0,4
3,1,4.61512051684126,0,0,57,12,0,0,1,0,0,0,0,0,0,0,0,0,4
2,1,3.9318256327243257,0,0,57,12,0,0,1,0,0,0,0,0,0,0,0,0,4
3,1,4.795790545596741,0,0,57,12,0,0,1,0,0,0,0,0,0,0,0,0,4
18,1,5.5254529391317835,0,0,57,12,0,0,1,0,0,0,0,0,0,0,0,0,4
13,1,3.6375861597263857,0,1,90,36,0,0,1,0,0,0,0,0,0,0,0,0,0
8,1,4.465908118654584,0,1,53,16,0,0,1,0,0,0,0,0,0,0,0,0,5
11,1,4.442651256490317,0,0,87,40,0,0,1,0,0,0,0,0,0,0,0,0,6
2,0,3.295836866004329,0,1,69,148,0,0,1,0,0,0,0,0,0,0,0,0,5
8,1,4.418840607796598,0,1,104,44,0,0,1,0,0,0,0,0,0,0,0,0,6
12,0,3.295836866004329,0,1,11,49,0,0,1,0,0,0,0,0,0,0,0,0,5
2,1,4.465908118654584,0,1,48,12,0,0,1,0,0,0,0,0,0,0,0,0,5
18,1,4.394449154672439,0,1,48,12,0,0,1,0,0,0,0,0,0,0,0,0,5
2,0,3.367295829986474,0,1,69,148,0,0,1,0,0,0,0,0,0,0,0,0,5
14,1,3.713572066704308,0,0,48,12,0,0,1,0,0,0,0,0,0,0,0,0,5
15,1,3.4965075614664802,0,1,66,25,0,0,1,0,0,0,0,0,0,0,0,0,6
4,0,3.295836866004329,0,1,51,114,0,0,1,0,0,0,0,0,0,0,0,0,5
2,0,2.772588722239781,0,1,59,133,0,0,1,0,0,0,0,0,0,0,0,0,5
7,1,4.442651256490317,0,0,48,12,0,0,1,0,0,0,0,0,0,0,0,0,5
12,0,3.871201010907891,0,1,11,49,0,0,1,0,0,0,0,0,0,0,0,0,5
2,1,3.4339872044851463,0,1,49,17,0,0,1,0,0,0,0,0,0,0,0,0,4
22,1,3.4965075614664802,0,1,49,17,0,0,1,0,0,0,0,0,0,0,0,0,4
2,0,2.1972245773362196,0,0,64,121,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0,2.70805020110221,0,1,16,50,0,0,1,0,0,0,0,0,0,0,0,0,4
2,0,2.70805020110221,0,1,30,71,0,0,1,0,0,0,0,0,0,0,0,0,1
2,1,4.5217885770490405,0,1,49,17,0,0,1,0,0,0,0,0,0,0,0,0,4
2,0,2.1972245773362196,0,0,46,82,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,3.5263605246161616,0,1,16,50,0,0,1,0,0,0,0,0,0,0,0,0,4
3,0,2.1972245773362196,0,0,58,99,0,0,1,0,0,0,0,0,0,0,0,0,1
3,1,3.871201010907891,0,0,51,17,0,0,1,0,0,0,0,0,0,0,0,0,4
14,1,4.812184355372417,0,0,51,17,0,0,1,0,0,0,0,0,0,0,0,0,4
10,1,4.795790545596741,0,0,51,17,0,0,1,0,0,0,0,0,0,0,0,0,4
5,1,5.209486152841421,0,0,51,17,0,0,1,0,0,0,0,0,0,0,0,0,4
12,1,4.007333185232471,0,0,51,17,0,0,1,0,0,0,0,0,0,0,0,0,4
3,1,5.4638318050256105,0,0,50,18,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2.772588722239781,0,0,17,51,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,3.044522437723423,0,0,44,104,0,0,1,0,0,0,0,0,0,0,0,0,5
